original_node_id,mapped_node_index,PC1,PC2,PC3,cluster_label,role,pagerank,betweenness_centrality,hits_authority,hits_hub,participation_coefficient,I_popularity,I_authority,I_hub,I_bridge,I_local,I_engagement,I_hidden
121,121,0.3655470019915857,0.5659667797217791,-0.9175869526426632,5,Hidden / Niche Influencer,0.47259165565536104,0.15733023195445595,-0.05970486330691617,-0.061156893667158284,-0.6625565064327426,0.5443314351806382,1.1971851503888722,0.6328854879242629,-0.43200107188446535,0.6619852112537423,0.21289151374781284,-1.216134557342618
122,122,-4.4284547966619705,-1.8894688688650267,1.5337815850355632,6,Community Leader Group,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,-3.3629257632002636,-2.9804288929695346,-4.0863553356705555,-0.9132230035628081,-3.758079113891087,-2.705983026830257,-2.055789298276502
123,123,3.1747398915691516,1.9824370694038675,3.1687211332430376,4,Local Community Leader,2.271464878259028,-0.30737583792390116,-0.059704863306916454,-0.061156893667156376,-0.6625565064327426,4.200341005460733,2.9960583729925387,2.518132898448541,-10.049857465990478,2.641890444616294,1.9823324965242346,-1.0246189284733769
124,124,4.311581443718782,1.0626106477938821,0.8684520829435188,3,Information Spreader,-0.1907828022238594,0.48855363808511354,-0.059704863306918085,-0.06115689366715822,1.7247666230198089,2.7040122280562313,0.5338106925096497,3.0533819610079647,2.2865454636987437,3.164742858767381,2.1050244293307303,1.443802355319655
125,125,4.153327874693334,-1.1747906643984012,0.3700559635815487,3,Information Spreader,-0.5574398841954867,-0.2147256838916957,-0.059704863306916094,-0.0611568936671584,1.2321443899581714,-0.3695419536891021,0.16715361053802447,3.339521974304496,1.0906439086602968,0.3704288982218392,0.7529396632703602,0.6967168667028004
126,126,3.8266055144575954,-2.6861040650983425,1.0612422553668421,3,Information Spreader,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.061156893667158575,-0.6625565064327426,-3.3629257632002636,-0.00960177918003724,4.591849987325378,-0.9132230035628081,0.44143385577203226,0.18633980288078544,0.4355112710226158
127,127,5.391615813390642,-3.118968272467887,1.3909530381446464,3,Information Spreader,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.06115689366716562,0.9360973748970911,-3.3629257632002636,-0.00960177918003724,5.936833469609802,0.6854308777670256,-0.027941446212080306,0.42079004935803477,0.5638059430512425
128,128,-4.4284547966619705,-1.8894688688650267,1.5337815850355632,6,Community Leader Group,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,-3.3629257632002636,-2.9804288929695346,-4.0863553356705555,-0.9132230035628081,-3.758079113891087,-2.705983026830257,-1.2539428702932516
129,129,0.7595807602776665,1.446196567723051,-1.0818749918758575,5,Hidden / Niche Influencer,0.3371616080536434,-0.30737583792390116,-0.05970486330691626,-0.06115689366715964,1.2321443899581714,2.0462020197032276,1.0617551027871543,0.8068100989761472,0.9979937546280916,1.0935395542732989,1.5009856075441004,1.0143586514194003
130,130,3.338258486077118,4.840928253216113,1.496975810141021,2,Bridge / Broker,4.497733261585625,6.896630136195355,-0.059704863306916274,-0.0611568936671584,0.9360973748970911,7.508135530539829,5.222326756319136,1.5909943561389102,7.9059527136862675,2.934520040550663,1.885089836388706,3.20424080775953
131,131,-0.058147167845144475,0.39904282009921715,-0.927281819194189,5,Hidden / Niche Influencer,-0.5048122500476454,-0.263339387312998,-0.059704863306916066,-0.061156893667158416,-0.6625565064327426,0.02539221205626263,0.2197812446858658,0.15941638333149433,-0.8526706911519193,1.012810275091781,0.5208529445251358,0.5079934839771696
132,132,-0.2278453471793596,-0.08992601533706698,-0.7389750509694423,5,Hidden / Niche Influencer,-0.006844257270490032,-0.32022140483029204,-0.059704863306916184,-0.06115689366715856,-0.6625565064327426,0.0298461575834792,-0.7676643194317275,0.7931630911826799,-0.9095527086692133,0.5981916000606072,0.6610856051263827,0.22194117577945952
133,133,4.056209167706558,-0.9158831796802313,0.0352112717962026,3,Information Spreader,-0.5080452163367767,-0.1963835832946261,-0.0597048633069161,-0.06115689366715837,1.2321443899581714,-0.17327124222461948,0.21654827839673452,3.2106641080581007,1.1089860092573667,0.8962751593187952,1.1486978990034977,0.8381678784408779
134,134,-4.4284547966619705,-1.8894688688650267,1.5337815850355632,6,Community Leader Group,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,-3.3629257632002636,-2.9804288929695346,-4.0863553356705555,-0.9132230035628081,-3.758079113891087,-2.705983026830257,-1.3252181083362071
135,135,0.5112714900663484,0.2888066701433089,-2.051858163782297,5,Hidden / Niche Influencer,-0.4785577680467125,-0.315633619290517,1.1618911014043336,-0.061156893667158416,1.4689820020070359,-0.02775602515504061,1.4676316913980483,0.4059373100800585,1.2265735853103403,-0.6267307064750847,0.3650052992700033,0.8416604398346503
136,136,1.5801072884687306,1.16175136281596,0.24461663490284824,5,Hidden / Niche Influencer,0.5002631694737564,-0.3018708164836573,-0.059704863306916184,-0.06115689366715834,-0.6625565064327426,2.228900621599517,1.2248566642072674,1.0684323076989115,-0.8912021203225786,2.5467658386639673,1.0040442005309247,0.440779887457168
137,137,-0.4389974885807586,2.5535056222303028,-0.6664382557469684,5,Hidden / Niche Influencer,1.5032809067327524,-0.27801725925591925,-0.059704863306932365,-0.061156893667158485,1.2321443899581714,3.539015014490242,2.2278744014662473,-0.39589625411541457,1.0273523332960734,1.6036601037370615,1.0801677539810985,1.4052404049994354
138,138,6.355305635136488,0.45738937770072036,0.8735838583613195,3,Information Spreader,-0.07562375867650172,1.242532002180981,7.531589895777504,-0.06115689366716014,2.1794948381536283,2.044747134973131,8.24026449514143,5.499577764429561,3.4952520429284304,2.7168682762759335,2.613183378675979,3.4390235618256346
139,139,-0.6737937620190073,-2.102241518169268,-1.3620969359446087,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.06115689366715853,-0.6625565064327426,-3.3629257632002636,-1.4950153360747858,0.4130112100440103,-0.9132230035628081,-2.3039504674296767,-1.2610406541538668,-0.4813221252588826
140,140,0.5663193958952843,0.5194658399544045,-1.1007714558934965,5,Hidden / Niche Influencer,0.5738208116486149,0.033684415148303025,-0.05970486330691623,-0.061156893667158325,-0.6625565064327426,0.6629214652746312,1.2984143063821258,0.30812214810220734,-0.5556468886906183,0.6506018388326543,-0.09451095197350354,0.07759862451790855
141,141,-2.4513708741965616,3.528471943014941,1.0618444618999752,1,Global Influencer,1.2043129066110394,-0.3238916997238868,-0.059704863306926835,-0.0611568936671584,-0.6625565064327426,4.648228836208584,1.9289064013445398,-4.0863553356705555,-0.9132230035628081,3.1427241785904134,0.47383863447287267,1.3128001527309459
142,142,1.932476023183951,3.9259831715253735,-0.1942684159801624,2,Bridge / Broker,3.986116140517941,1.3928468217616232,-0.059704863306916364,-0.06115689366715846,0.9360973748970911,6.8888762950002205,4.710709635251452,1.1318753077586692,2.4021693992525353,3.0484228687052743,1.6412945263280019,2.1532577350432374
143,143,3.761272984311018,0.26601001078185493,2.3954964132463057,3,Information Spreader,-0.00548515456219545,-0.1963835832946261,-0.05970486330691614,-0.06115689366715843,-0.6625565064327426,1.7941321421435645,0.7191083401713156,2.921351480305255,-0.7857148871335474,3.7608824090413977,1.5964144186143616,1.0557609437963125
144,144,-4.4284547966619705,-1.8894688688650267,1.5337815850355632,6,Community Leader Group,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,-3.3629257632002636,-2.9804288929695346,-4.0863553356705555,-0.9132230035628081,-3.758079113891087,-2.705983026830257,-1.1292112037180795
145,145,-3.1474699414811047,1.5582834692993277,0.3338065875740267,1,Global Influencer,-0.1585093254748752,-0.3238916997238868,-0.05970486330691622,-0.0611568936671584,-0.6625565064327426,1.6968920634721514,-0.9193293876361127,-4.0863553356705555,-0.9132230035628081,1.0890953581725504,-0.5143605295584458,-0.5812878929049217
146,146,-1.4913120844037462,0.00801106873418352,-0.17181446634248093,5,Hidden / Niche Influencer,-0.5916095648986658,-0.32297412046188806,-0.059704863306916295,-0.0611568936671584,-0.6625565064327426,-0.5242175274829902,-1.3524296270599034,-0.4936149703546471,-0.9123054243008094,0.4716208177955205,-0.1397960304285829,-0.5326296407957303
147,147,1.8068285669331716,1.6839461359049643,-1.075716830681586,5,Hidden / Niche Influencer,-0.23631777866181458,-0.14136613252776326,-0.059704863306916295,-0.06115689366715856,2.0018666291169804,2.6776354158240467,0.4882757160716964,1.0251119983688946,1.9337256991830385,1.7965274234304225,1.7504072827917978,1.0758589499151665
148,148,1.6001873697751376,0.4473025506971748,-1.7295437668364246,5,Hidden / Niche Influencer,1.039123157238786,0.0437617688642232,-0.05970486330691617,-0.06115689366715846,1.4689820020070359,1.182511200198589,1.763716651972297,0.6930679049691332,1.5859689734650804,-0.8788507998769615,-0.11047260919344624,0.3020144762050059
149,149,1.0744445213900313,2.074301761941888,-0.5953455146281353,5,Hidden / Niche Influencer,-0.07179054162354916,-0.3128809922730754,-0.05970486330691622,-0.061156893667158256,0.9360973748970911,2.8126022941043254,0.6528029531099618,0.653256114893972,0.696441585217837,3.1770063158758615,1.5995028181295543,0.6053873838222776
150,150,0.6607666490254376,-2.5230832749438075,-1.0294212957071682,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.06115689366715846,-0.6625565064327426,-3.3629257632002636,-1.4950153360747858,0.6754011266772948,-0.9132230035628081,-1.971082242990521,-1.4538455409412374,-0.7149116844423496
151,151,0.14507011141598755,-0.09291066736650791,-0.9177237815952102,5,Hidden / Niche Influencer,-0.34092329468685195,-0.2523316033646126,-0.059704863306916336,-0.061156893667158325,-0.6625565064327426,0.19178309603077065,-1.1017433568480897,0.3203775219906815,-0.8416629072035339,1.0942075759242607,0.3613501590065768,-0.47858022808928413
152,152,4.554937593738216,-0.9546972777963989,1.3535156793916796,3,Information Spreader,-0.6194799498242257,-0.27526508629648816,-0.059704863306919834,-0.061156893667159054,0.9360973748970911,-0.14220525094524283,0.10511354490928171,4.416615831919151,0.7340574911944242,2.1010266651471654,1.8753814826996806,0.8630629995411587
153,153,1.471077632850747,0.34333975995171145,-0.8275148011784549,5,Hidden / Niche Influencer,-0.22735305745337006,0.19212215054733997,-0.059704863306914734,-0.06115689366715854,-0.6625565064327426,0.7979018353822936,0.49724043728014244,0.8783502078743999,-0.39720915329158135,1.4392778909866006,0.9566765435876814,0.571284217204711
154,154,3.6020499037915554,-0.9000749693617554,1.1018558969842436,3,Information Spreader,-0.34092329468685195,-0.24682791066079252,-0.05970486330691644,-0.06115689366715838,-0.6625565064327426,-0.07386603115846452,0.38367020004665886,3.3094380899064424,-0.8361592144997138,1.6375874139154116,1.17975517026807,0.6222404285376761
155,155,3.111359917794548,-0.9699333918836258,0.029409811545902775,3,Information Spreader,-0.5287523692412027,0.018109446976711,-0.05970486330691632,-0.0611568936671584,-0.6625565064327426,-0.41063642934799005,0.19584112549230825,2.099209818977071,-0.5712218568622103,0.5321389380441497,0.5899197391130467,-0.07305138625571736
156,156,-1.6246546623869846,-1.7822598978207673,-0.8781026717736704,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.06115689366715835,-0.6625565064327426,-3.3629257632002636,-1.4950153360747858,-0.060693044856716005,-0.9132230035628081,-2.2612304629335815,-0.9565842528424775,-0.3298738741826829
157,157,0.5325678259558705,-2.136459438613624,-0.6163243056590588,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.06115689366715879,-0.6625565064327426,-3.3629257632002636,-1.4950153360747858,2.1531878249778704,-0.9132230035628081,-0.7780893301163051,-0.397198034902257,-1.1791860361597601
158,158,4.542391886781888,-2.993076719843858,0.6856965777982125,3,Information Spreader,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.06115689366715818,1.2321443899581714,-3.3629257632002636,-0.00960177918003724,4.746126709371112,0.9814778928281059,-1.1453373983637483,0.16755949240274814,-0.4091120500441493
159,159,-3.237891654730896,1.3168764447524504,-0.32956055632866604,1,Global Influencer,1.560223846085661,-0.3238916997238868,-0.05970486330691649,-0.0611568936671584,-0.6625565064327426,1.7531680471845235,0.7994037839244234,-4.0863553356705555,-0.9132230035628081,-0.3874836158857693,-1.3307207152352447,0.5026392323032054
160,160,1.7703406197957259,-1.970039780990304,-1.6174662474519816,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.061156893667166284,1.4689820020070359,-3.3629257632002636,-0.00960177918003724,2.7029867990909984,1.2183155048769705,-2.355451166848632,-0.09791083835978753,-0.3623638697953493
161,161,-2.504973272332041,2.051734633376596,-1.142302311306104,1,Global Influencer,-0.15002529710779625,-0.3238916997238868,-0.059704863306917204,-0.0611568936671584,1.4689820020070359,1.6880082714446016,0.5745681976257138,-4.0863553356705555,1.2183155048769705,-0.030302276455731858,-0.5317283499530746,0.9028885879750401
162,162,-0.436548822515108,-2.1685756035460693,-1.6633851860505804,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.06115689366715855,-0.6625565064327426,-3.3629257632002636,-1.4950153360747858,0.4382382600151028,-0.9132230035628081,-2.3084476380384693,-1.2358136041827743,-0.5357152300073582
163,163,-3.346878680002945,0.5164342454661024,-0.5260355542241117,1,Global Influencer,-0.4849922829714454,-0.3238916997238868,-0.05970486330691539,-0.0611568936671584,-0.6625565064327426,-0.18186939406842578,-1.2458123451326821,-4.0863553356705555,-0.9132230035628081,-0.277304928081612,-1.2205420274310874,-0.3636817891797127
164,164,4.117330099458018,-0.5116136527071856,0.21402282046738677,3,Information Spreader,1.0207141882267916,0.35776872810801996,-0.05970486330691668,-0.0611568936671585,2.1794948381536288,1.4345188771365667,1.745307682960302,3.1642822759728464,2.6104887688554697,-1.4353089966103152,1.074346949443134,1.0193270108902053
165,165,0.015283411360119127,3.1628532090509576,0.4161751450162275,5,Hidden / Niche Influencer,0.6470573103959071,-0.3147160732592273,-0.0597048633069161,-0.06115689366715855,0.7016281389687149,4.1642151799639455,1.3716508051294183,-0.16527976272595396,0.46013726830330887,3.9780273169687805,1.7262518490363639,1.3716564477495043
166,166,-4.4284547966619705,-1.8894688688650267,1.5337815850355632,6,Community Leader Group,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,-3.3629257632002636,-2.9804288929695346,-4.0863553356705555,-0.9132230035628081,-3.758079113891087,-2.705983026830257,-1.663775489040246
167,167,-3.403588567315699,0.35320880278043204,-0.49485414530431043,1,Global Influencer,-0.5239559907593937,-0.3238916997238868,-0.0597048633069161,-0.0611568936671584,-0.6625565064327426,-0.432078688521263,-1.284776052920631,-4.0863553356705555,-0.9132230035628081,-0.6968868302562401,-1.4317876140959764,-0.281000136741462
168,168,-1.5332584302760093,-1.7807827403921876,-1.263266864465338,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.061156893667158325,-0.6625565064327426,-3.3629257632002636,-1.4950153360747858,0.11806423305775127,-0.9132230035628081,-2.204556953332914,-0.7778269749280102,-0.514076750634503
169,169,1.8728037277889624,-2.185540755357401,-0.2657838071091405,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.06115689366715815,-0.6625565064327426,-3.3629257632002636,-0.00960177918003724,2.6505411399223453,-0.9132230035628081,-0.95172196570107,-0.3550395233784379,-0.05066383868105584
170,170,-3.3536623743235325,0.6078678107179628,-0.5785196041066348,1,Global Influencer,0.0071441596847870315,-0.3238916997238868,-0.059704863306915996,-0.0611568936671584,-0.6625565064327426,0.1449444400451607,-0.7536759024764502,-4.0863553356705555,-0.9132230035628081,-0.6133483009417358,-1.3858646359737334,-0.24207648538970103
171,171,-4.4284547966619705,-1.8894688688650267,1.5337815850355632,6,Community Leader Group,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.0611568936671584,-0.6625565064327426,-3.3629257632002636,-2.9804288929695346,-4.0863553356705555,-0.9132230035628081,-3.758079113891087,-2.705983026830257,-4.728610724887336
172,172,0.6956866558538347,1.8401551643871,-0.6776106956588628,5,Hidden / Niche Influencer,2.32298921687108,0.5863646350621726,-0.05970486330691614,-0.061156893667158416,-0.6625565064327426,3.29901954131148,3.047582711604591,0.6352245865600692,-0.002966668776748671,1.5662757561688654,0.869009379728076,1.086305551009536
173,173,0.333126403679228,0.8707860045789437,0.8399454617141224,5,Hidden / Niche Influencer,-0.16552058639265008,-0.09277842391042905,-0.059704863306916066,-0.06115689366715855,-0.6625565064327426,2.0878479244913155,-0.9263406485538874,1.2288359737006886,-0.6821097277493503,2.1501560396699744,1.893861951140896,0.5773278470263336
174,174,0.3503088709008487,-2.441802220808949,-1.4040036822733428,0,Hub / Broadcaster,-0.7341952739135483,-0.3238916997238868,-0.05970486330691619,-0.061156893667158575,-0.6625565064327426,-3.3629257632002636,-1.4950153360747858,1.097717246486191,-0.9132230035628081,-2.3084476380384693,-0.8268463952823522,-0.8564538012006583
